labels,sentences
1,继续 伙伴 分别 阻挡 不 还 一起 跳 一起 开心
1,长沙人 真的 太 会 享受 敢 信 一百出头 继续 伙伴 分别 阻挡 不 还 一起 跳 一起 开心
1,日本 女孩子 真的 很 嗲 太 会 撒娇
1,满足 少女 时代 美 想象 可能 少女 时代 爱 看 三毛 爱 看 安妮 宝贝 爱 看 独木舟 美女 想象 定格 文气 不羁 饱 读 诗书 却 自由 有时 忧伤 充满 四处 碰壁 热情 复杂 捉摸 不 透 却 简单 一定 拥有 双 明亮 充满 神采 眼睛 英气 浓密 不 经常 打理 眉毛 脸颊 嘴唇 鼻头额头 都 十分 饱满 圆润 拼凑 出来 却 副 乖 不 乖 模样 穿 风衣 披 围巾 兜里 时常 揣 纸笔 走 突然 找 地方 坐 下来 写 写 画画 知道 受 良好 教育 应该 不错 家世 不 会 此地 久留 以为 成年 后 人生 文艺片 装腔作势 散开 头发 披 上 厚 围巾 吹 风 幻想 成为 自由 辽阔 人 想象 中 女人 承载 未来 期待 好 亲近 充满 神秘感 吸引力 女人 很 温和 气质 里 带 一往无前 勇气 女人 很 诗意 很 文气 很 浪漫 却 很 遥远 女人 没 想到 小卢 仅仅 岁 每次 呈现 出 气质 却 都 很 值得 细品 耐 人 回味 带 点 不 属于 时代 陈旧感 故事感 嗅 气质 中 少女 时代 想象 脉 时 很 轻易 喜欢 上 最 适合 这种 没 网感 韵味
1,终于 理解 说 好 无 语 毛戈平 鱼子 酱 面膜 真 牛
1,图书馆 乐呵呵 小孩 围观 开心 周末 学校 图书馆 区 看 闲书 隐隐 感受 视线 落 身上 抬头 看见 排 小孩子 乐呵呵 趴 门口 看 笑 还 挺 喜庆 逗乐 那天 太阳 确实 挺 好 看见 小朋友 开心 没 看 书 去 教 五 草坪 晒 半天 太阳 挺 后悔 养 白 冬天 下午 黑 浪漫 生活 记录者
1,机场 临别 前 强颜 欢笑 妈妈 总是 说 爸爸 总是 乐呵呵 没心没肺 其实 心态 比较 乐观 开朗 不 愿意 太 大 负担 都 很 欣赏 爸爸 无敌 乐观 心态 面对 再 难 事 总 保持 笑容 人 去 很 远 很 远 地方 留学 没 必要 太 伤感 相信 新 地方 会 认识 新 朋友 开启 新 生活 滴 凡事 好处 想想 想 整个 人 会 变 开心 最后 成 真
1,生气 中 带 一点 不服 汤姆 小矮凳 真 可爱 鼠 重现猫 老鼠 经典 桥段 生气 中 带 一点 不 服 竖起 眉毛 眼里 闪烁 怒火 不 停 划动 手 似乎 想 抓捕 好似 伺机 发 扑鼠 猫 一起 开启 不同 次元 乐趣
1,生气 小 表情 不 没 带 出去 玩 笑 死人 表情 太 可爱
1,女朋友 终于 敢 发 脾气 女 朋友 都 脾气 特别 好 从来 不 会 发脾气 老 感觉 不 怕 生气 在家 妈 都 老 爸 发 脾气 俩 恩爱 哭 惹 哭 惹 哭 惹 哭 惹 哭 惹 哭 惹 今天 块 去 吃饭 下雪 路 特别 难 走 去 接 接 晚 十几 分钟 本来 都 说 肚子 特别 饿 皱眉 皱眉 皱眉皱眉 还 去 晚 慢 再见 再见 路 太 滑 哭 惹 知 不 知道 快 饿 死 生气 生气 知道 带 去 吃 火锅 好 不 好 好 好 呀色色色色色色 色色 哈哈哈 宝宝 以后 发发脾气 色色色色色色色色色色
1,新 老师 第一 堂 课 生气 新 美女 老师 名字 阿音第一 堂 课 生气 扶墙 太 闹 偷笑
1,无效 道歉 有效 道歉 男朋友 哄人 正确 打开 方式
